Time (s),Voltage (V)
-1.3910749999999804e-05,0.0
-1.3910624999999804e-05,0.0
-1.3910499999999804e-05,0.0
-1.3910374999999803e-05,0.0
-1.3910249999999803e-05,0.0
-1.3910124999999803e-05,0.0
-1.3909999999999802e-05,0.0
-1.3909874999999802e-05,0.0
-1.3909749999999802e-05,0.0
-1.3909624999999802e-05,0.0
-1.3909499999999801e-05,0.0
-1.3909374999999801e-05,0.0
-1.39092499999998e-05,0.0
-1.39091249999998e-05,0.0
-1.39089999999998e-05,0.0
-1.39088749999998e-05,0.0
-1.39087499999998e-05,0.0
-1.39086249999998e-05,0.0
-1.39084999999998e-05,0.0
-1.3908374999999799e-05,0.0
-1.3908249999999799e-05,0.0
-1.3908124999999798e-05,0.0
-1.3907999999999798e-05,0.0
-1.3907874999999798e-05,0.0
-1.3907749999999798e-05,0.0
-1.3907624999999797e-05,0.0
-1.3907499999999797e-05,0.0
-1.3907374999999797e-05,0.0
-1.3907249999999796e-05,0.0
-1.3907124999999796e-05,0.0
-1.3906999999999796e-05,0.0
-1.3906874999999796e-05,0.0
-1.3906749999999795e-05,0.0
-1.3906624999999795e-05,0.0
-1.3906499999999795e-05,0.0
-1.3906374999999794e-05,0.0
-1.3906249999999794e-05,0.0
-1.3906124999999794e-05,0.0
-1.3905999999999794e-05,0.0
-1.3905874999999793e-05,0.0
-1.3905749999999793e-05,0.0
-1.3905624999999793e-05,0.0
-1.3905499999999793e-05,0.0
-1.3905374999999792e-05,0.0
-1.3905249999999792e-05,0.0
-1.3905124999999792e-05,0.0
-1.3904999999999791e-05,0.0
-1.3904874999999791e-05,0.0
-1.3904749999999791e-05,0.0
-1.390462499999979e-05,0.0
-1.390449999999979e-05,0.0
-1.390437499999979e-05,0.04338928
-1.390424999999979e-05,0.04338928
-1.390412499999979e-05,0.04338928
-1.390399999999979e-05,0.0
-1.3903874999999789e-05,0.04338928
-1.3903749999999789e-05,0.04338928
-1.3903624999999788e-05,0.0
-1.3903499999999788e-05,0.0
-1.3903374999999788e-05,0.0
-1.3903249999999788e-05,0.0
-1.3903124999999787e-05,0.0
-1.3902999999999787e-05,0.0
-1.3902874999999787e-05,0.0
-1.3902749999999787e-05,0.0
-1.3902624999999786e-05,0.0
-1.3902499999999786e-05,0.0
-1.3902374999999786e-05,0.0
-1.3902249999999785e-05,0.0
-1.3902124999999785e-05,0.0
-1.3901999999999785e-05,0.0
-1.3901874999999785e-05,0.04338928
-1.3901749999999784e-05,0.0
-1.3901624999999784e-05,0.04338928
-1.3901499999999784e-05,0.04338928
-1.3901374999999784e-05,0.04338928
-1.3901249999999783e-05,0.04338928
-1.3901124999999783e-05,0.04338928
-1.3900999999999783e-05,0.0
-1.3900874999999782e-05,0.0
-1.3900749999999782e-05,0.0
-1.3900624999999782e-05,0.0
-1.3900499999999782e-05,0.0
-1.3900374999999781e-05,0.0
-1.3900249999999781e-05,0.0
-1.390012499999978e-05,0.0
-1.389999999999978e-05,0.0
-1.389987499999978e-05,0.0
-1.389974999999978e-05,0.0
-1.389962499999978e-05,0.0
-1.389949999999978e-05,0.0
-1.3899374999999779e-05,0.0
-1.3899249999999779e-05,0.0
-1.3899124999999779e-05,0.0
-1.3898999999999778e-05,0.0
-1.3898874999999778e-05,0.0
-1.3898749999999778e-05,0.0
-1.3898624999999778e-05,0.0
-1.3898499999999777e-05,0.0
-1.3898374999999777e-05,0.0
-1.3898249999999777e-05,0.0
-1.3898124999999776e-05,0.0
-1.3897999999999776e-05,0.0
-1.3897874999999776e-05,0.0
-1.3897749999999776e-05,0.0
-1.3897624999999775e-05,0.0
-1.3897499999999775e-05,0.0
-1.3897374999999775e-05,0.0
-1.3897249999999774e-05,0.0
